LOC101742999	plus_peak_74891	5109
LOC105842914	plus_peak_30107	3358
LOC101738210	plus_peak_58429	756
LOC101746016	plus_peak_66155	3369
LOC692816	minus_peak_73401	1749
LOC101745947	minus_peak_68390	2851
LOC101743300	plus_peak_44554	5012
LOC101744978	minus_peak_30814	94
LOC101740426	plus_peak_62405	5355
LOC692541	minus_peak_15643	2634
LOC101737049	plus_peak_28401	4560
LOC101740946	minus_peak_65408	4226
LOC101737745	minus_peak_31915	540
LOC101737071	minus_peak_9672	4604
Tra2	plus_peak_23002	1052
LOC119629956	minus_peak_53590	600
LOC119629979	minus_peak_4534	2076
LOC101735907	plus_peak_30667	5907
Xdh1	minus_peak_34700	4098
LOC105841518	plus_peak_20597	5190
LOC101740477	minus_peak_7941	277
serpin-13	minus_peak_35272	726
LOC101735522	minus_peak_1545	3342
LOC119629815	minus_peak_49267	4166
LOC110385136	minus_peak_48828	2311
LOC119630477	plus_peak_69356	234
LOC101740314	minus_peak_76496	328
LOC101735527	plus_peak_10826	5450
trh	minus_peak_18359	5500
LOC101737283	plus_peak_55367	2472
LOC101741117	plus_peak_59968	4185
LOC110385578	plus_peak_51835	5216
LOC101736775	plus_peak_31676	3070
LOC101738219	plus_peak_9105	5169
LOC101743796	minus_peak_67644	5574
LOC100862773	minus_peak_38314	3176
LOC101742691	plus_peak_68873	5818
LOC101743272	plus_peak_10022	1075
LOC101736841	plus_peak_35090	5040
LOC105842030	plus_peak_42907	565
LOC119629624	minus_peak_43273	4832
Bbx-a4	minus_peak_30836	2773
LOC101735375	plus_peak_35192	1223
LOC101742055	plus_peak_36585	5847
LOC101737869	plus_peak_46348	783
LOC101736204	minus_peak_21570	5279
LOC101744856	minus_peak_45737	751
LOC105842824	plus_peak_36637	2327
CPG15	plus_peak_35126	4313
LOC101737185	plus_peak_68561	5468
Mtnr	plus_peak_700	3934
LOC105841329	minus_peak_74531	3502
LOC101735630	plus_peak_9454	2426
LOC101740281	minus_peak_53626	3483
LOC101742841	plus_peak_43802	4936
LOC101741803	minus_peak_40878	4219
LOC101743482	plus_peak_48092	411
LOC101740005	plus_peak_36452	1944
LOC692980	plus_peak_4589	5735
Rad23	minus_peak_27561	5301
LOC101743792	minus_peak_1916	486
LOC100126177	minus_peak_34823	1018
LOC119628796	minus_peak_22091	5423
LOC119629531	minus_peak_41067	3070
LOC101739483	plus_peak_77968	3281
LOC110386692	minus_peak_75470	5279
LOC101742530	plus_peak_17608	1913
LOC101738950	plus_peak_62246	2958
p27K	minus_peak_62265	2931
LOC101743694	plus_peak_9816	1619
LOC101739321	minus_peak_9040	2766
LOC101746796	minus_peak_20860	4896
LOC101745573	plus_peak_43469	2900
LOC692891	plus_peak_52288	437
LOC110386554	plus_peak_69459	4996
LOC119629209	plus_peak_30678	3461
LOC101745336	minus_peak_39947	4620
LOC101739007	minus_peak_55646	4384
LOC101738070	plus_peak_44858	4325
LOC101736484	plus_peak_51712	349
LOC110385258	minus_peak_35564	4296
LOC101739116	plus_peak_72385	3498
LOC101735826	minus_peak_72144	1332
LOC101737830	minus_peak_25973	1232
LOC101743205	minus_peak_30217	3548
LOC101742147	minus_peak_5825	2290
LOC101746287	plus_peak_56938	2837
LOC101735648	minus_peak_49359	3001
LOC101737667	minus_peak_65073	1234
LOC733058	minus_peak_8326	2466
LOC101737575	minus_peak_45393	180
LOC105841549	plus_peak_53201	2972
LOC110386513	minus_peak_71689	714
LOC101735980	minus_peak_74974	130
LOC101736998	plus_peak_54295	715
LOC101747151	plus_peak_78367	5884
LOC101744695	minus_peak_5978	449
LOC101738740	plus_peak_58077	90
LOC101743314	minus_peak_34937	2017
LOC101736878	plus_peak_18357	1480
LOC101736113	plus_peak_5246	2603
LOC101744815	minus_peak_7227	3172
LOC101736042	minus_peak_19904	3029
LOC101741559	minus_peak_76773	3088
LOC119630250	plus_peak_64010	2030
LOC105842075	minus_peak_8306	159
LOC105842996	plus_peak_77053	1483
LOC110386106	plus_peak_57709	4171
LOC101740419	plus_peak_45351	3024
LOC692886	minus_peak_43767	4802
LOC101739510	minus_peak_16246	2000
LOC101736368	plus_peak_1614	714
LOC101739393	plus_peak_72363	2180
LOC101740015	minus_peak_46571	3729
LOC101743532	minus_peak_24580	147
LOC101737718	plus_peak_45184	27
LOC101743317	plus_peak_43109	389
LOC101739587	plus_peak_57426	4304
LOC101738498	minus_peak_11269	5878
LOC101745034	minus_peak_57801	5637
LOC101743063	minus_peak_17982	5154
LOC778458	plus_peak_10791	4191
LOC110386140	plus_peak_32024	2020
LOC101740693	plus_peak_66904	20
